,FishingEntityID,FishingEntityName,Country.or.Area,Region.Code,Region.Name,Region.Name_koh,Sub.region.Code,Sub.region.Name,Sub.region.Name_koh,Intermediate.Region.Code,Intermediate.Region.Name,M49.Code,ISO.alpha3.Code,Least.Developed.Countries..LDC.,Land.Locked.Developing.Countries..LLDC.,Small.Island.Developing.States..SIDS.,Developed...Developing.Countries
118,124,Nicaragua,Nicaragua,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,13,Central America,558,NIC,,,,Developing
119,125,Nigeria,Nigeria,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,11,Western Africa,566,NGA,,,,Developing
120,126,Niue (New Zealand),Niue,9,Oceania,Oceania,61,Polynesia,Polynesia,NA,,570,NIU,,,x,Developing
121,127,Norfolk Isl. (Australia),Norfolk Island,9,Oceania,Oceania,53,Australia and New Zealand,Australia and New Zealand,NA,,574,NFK,,,,Developed
189,207,North Cyprus,North Cyprus,NA,NA,Asia,NA,NA,Western Asia,NA,NA,NA,NA,NA,NA,NA,NA
123,129,North Marianas (USA),Northern Mariana Islands,9,Oceania,Oceania,57,Micronesia,Micronesia,NA,,580,MNP,,,x,Developing
122,128,Norway,Norway,150,Europe,Europe,154,Northern Europe,Northern Europe,NA,,578,NOR,,,,Developed
110,115,Oman,Oman,142,Asia,Asia,145,Western Asia,Western Asia,NA,,512,OMN,,,,Developing
203,223,Others,Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,134,Pakistan,Pakistan,142,Asia,Asia,34,Southern Asia,Southern Asia,NA,,586,PAK,,,,Developing
126,133,Palau,Palau,9,Oceania,Oceania,57,Micronesia,Micronesia,NA,,585,PLW,,,x,Developing
128,135,Panama,Panama,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,13,Central America,591,PAN,,,,Developing
129,136,Papua New Guinea,Papua New Guinea,9,Oceania,Oceania,54,Melanesia,Melanesia,NA,,598,PNG,,,x,Developing
130,137,Peru,Peru,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,5,South America,604,PER,,,,Developing
131,138,Philippines,Philippines,142,Asia,Asia,35,South-eastern Asia,South-eastern Asia,NA,,608,PHL,,,,Developing
132,139,Pitcairn (UK),Pitcairn,9,Oceania,Oceania,61,Polynesia,Polynesia,NA,,612,PCN,,,,Developing
133,140,Poland,Poland,150,Europe,Europe,151,Eastern Europe,Eastern Europe,NA,,616,POL,,,,Developed
134,141,Portugal,Portugal,150,Europe,Europe,39,Southern Europe,Southern Europe,NA,,620,PRT,,,,Developed
137,144,Puerto Rico (USA),Puerto Rico,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,630,PRI,,,x,Developing
138,145,Qatar,Qatar,142,Asia,Asia,145,Western Asia,Western Asia,NA,,634,QAT,,,,Developing
139,146,R_union (France),R union,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,14,Eastern Africa,638,REU,,,,Developing
140,147,Romania,Romania,150,Europe,Europe,151,Eastern Europe,Eastern Europe,NA,,642,ROU,,,,Developed
141,148,Russian Federation,Russian Federation,150,Europe,Europe,151,Eastern Europe,Eastern Europe,NA,,643,RUS,,,,Developed
201,221,Saba and Saint Eustaius (Netherlands),"Bonaire, Sint Eustatius and Saba",19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,535,BES,,,x,Developing
142,149,Saint Helena (UK),Saint Helena,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,11,Western Africa,654,SHN,,,,Developing
143,150,Saint Kitts & Nevis,Saint Kitts and Nevis,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,659,KNA,,,x,Developing
145,152,Saint Lucia,Saint Lucia,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,662,LCA,,,x,Developing
147,154,Saint Vincent & the Grenadines,Saint Vincent and the Grenadines,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,670,VCT,,,x,Developing
184,192,Samoa,Samoa,9,Oceania,Oceania,61,Polynesia,Polynesia,NA,,882,WSM,,,x,Developing
148,155,Sao Tome & Principe,Sao Tome and Principe,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,17,Middle Africa,678,STP,x,,x,Developing
149,156,Saudi Arabia,Saudi Arabia,142,Asia,Asia,145,Western Asia,Western Asia,NA,,682,SAU,,,,Developing
150,157,Senegal,Senegal,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,11,Western Africa,686,SEN,x,,,Developing
151,158,Seychelles,Seychelles,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,14,Eastern Africa,690,SYC,,,x,Developing
152,159,Sierra Leone,Sierra Leone,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,11,Western Africa,694,SLE,x,,,Developing
153,160,Singapore,Singapore,142,Asia,Asia,35,South-eastern Asia,South-eastern Asia,NA,,702,SGP,,,x,Developing
195,215,Sint Maarten,Sint Maarten (Dutch part),19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,534,SXM,,,x,Developing
155,162,Slovenia,Slovenia,150,Europe,Europe,39,Southern Europe,Southern Europe,NA,,705,SVN,,,,Developed
18,18,Solomon Isl.,Solomon Islands,9,Oceania,Oceania,54,Melanesia,Melanesia,NA,,90,SLB,x,,x,Developing
156,163,Somalia,Somalia,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,14,Eastern Africa,706,SOM,x,,,Developing
157,164,South Africa,South Africa,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,18,Southern Africa,710,ZAF,,,,Developing
190,208,South Cyprus,South Cyprus,NA,NA,Asia,NA,NA,Western Asia,NA,NA,NA,NA,NA,NA,NA,NA
158,165,Spain,Spain,150,Europe,Europe,39,Southern Europe,Southern Europe,NA,,724,ESP,,,,Developed
29,29,Sri Lanka,Sri Lanka,142,Asia,Asia,34,Southern Asia,Southern Asia,NA,,144,LKA,,,,Developing
191,209,St Barthelemy (France),Saint Barth lemy,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,652,BLM,,,,Developing
192,210,St Martin,Saint Martin (French Part),19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,663,MAF,,,,Developing
146,153,St Pierre & Miquelon (Fr.),Saint Pierre and Miquelon,19,Americas,Americas,21,Northern America,Northern America,NA,,666,SPM,,,,Developed
160,167,Sudan,Sudan,2,Africa,Africa,15,Northern Africa,Northern Africa,NA,,729,SDN,x,,,Developing
161,168,Suriname,Suriname,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,5,South America,740,SUR,,,x,Developing
188,199,Svalbard Isl. (Norway),Svalbard and Jan Mayen Islands,150,Europe,Europe,154,Northern Europe,Northern Europe,NA,,744,SJM,,,,Developed
162,169,Sweden,Sweden,150,Europe,Europe,154,Northern Europe,Northern Europe,NA,,752,SWE,,,,Developed
163,170,Syrian Arab Republic,Syrian Arab Republic,142,Asia,Asia,145,Western Asia,Western Asia,NA,,760,SYR,,,,Developing
32,32,Taiwan,Taiwan,NA,NA,Asia,30,NA,Eastern Asia,NA,NA,NA,NA,NA,NA,NA,NA
178,186,Tanzania,Tanzania,NA,NA,Africa,NA,NA,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA
164,171,Thailand,Thailand,142,Asia,Asia,35,South-eastern Asia,South-eastern Asia,NA,,764,THA,,,,Developing
136,143,Timor Leste,Timor-Leste,142,Asia,Asia,35,South-eastern Asia,South-eastern Asia,NA,,626,TLS,x,,x,Developing
165,172,Togo,Togo,2,Africa,Africa,202,Sub-Saharan Africa,Sub-Saharan Africa,11,Western Africa,768,TGO,x,,,Developing
166,173,Tokelau (New Zealand),Tokelau,9,Oceania,Oceania,61,Polynesia,Polynesia,NA,,772,TKL,,,,Developing
167,174,Tonga,Tonga,9,Oceania,Oceania,61,Polynesia,Polynesia,NA,,776,TON,,,x,Developing
168,175,Trinidad & Tobago,Trinidad and Tobago,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,780,TTO,,,x,Developing
200,220,Tristan da Cunha Isl. (UK),Tristan da Cunha Isl. (UK)) NA UN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,177,Tunisia,Tunisia,2,Africa,Africa,15,Northern Africa,Northern Africa,NA,,788,TUN,,,,Developing
171,178,Turkey,Turkey,142,Asia,Asia,145,Western Asia,Western Asia,NA,,792,TUR,,,,Developing
172,179,Turks & Caicos Isl. (UK),Turks and Caicos Islands,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,796,TCA,,,,Developing
173,180,Tuvalu,Tuvalu,9,Oceania,Oceania,61,Polynesia,Polynesia,NA,,798,TUV,x,,x,Developing
174,181,Ukraine,Ukraine,150,Europe,Europe,151,Eastern Europe,Eastern Europe,NA,,804,UKR,,,,Developed
169,176,United Arab Emirates,United Arab Emirates,142,Asia,Asia,145,Western Asia,Western Asia,NA,,784,ARE,,,,Developing
176,183,United Kingdom,United Kingdom of Great Britain and Northern Ireland,150,Europe,Europe,154,Northern Europe,Northern Europe,NA,,826,GBR,,,,Developed
193,213,Unknown Fishing Country,Unknown Fishing Country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,189,Uruguay,Uruguay,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,5,South America,858,URY,,,,Developing
180,188,US Virgin Isl.,United States Virgin Islands,19,Americas,Americas,419,Latin America and the Caribbean,Latin America and the Caribbean,29,Caribbean,850,VIR,,,x,Developing
179,187,USA,United States of America,19,Americas,Americas,21,Northern America,Northern America,NA,,840,USA,,,,Developed
116,122,Vanuatu,Vanuatu,9,Oceania,Oceania,54,Melanesia,Melanesia,NA,,548,VUT,x,,x,Developing
