TaxonKey,TaxonName,CommonName
608425,Gaidropsarus ensis,Threadfin rockling
608445,Coelorinchus chilensis,Chilean grenadier
608483,Lepidorhynchus denticulatus,Thorntooth grenadier
608490,Rexea solandri,Silver gemfish
608540,Aphanopus intermedius,Intermediate scabbardfish
608556,Pseudopleuronectes herzensteini,Yellow striped flounder
608726,Alphestes afer,Mutton hamlet
608816,Cephalopholis fulva,Coney
608838,Clidoderma asperrimum,Roughscale sole
608845,Hippoglossoides dubius,Flathead flounder
608848,Pelotretis flavilatus,Southern lemon sole
608852,Solea senegalensis,Senegalese sole
608900,Dipturus nidarosiensis,Norwegian skate
608924,Raja asterias,Mediterranean starry ray
608929,Raja radula,Rough ray
608936,Rajella bigelowi,Bigelows ray
608991,Spectrunculus grandis,Pudgy cuskeel
609000,Hydrolagus mirabilis,Largeeyed rabbitfish
609005,Rhinochimaera atlantica,Straightnose rabbitfish
609033,Gymnothorax maderensis,Sharktooth moray
609146,Neocyttus rhomboidalis,Spiky oreo
609171,Alepocephalus agassizii,Agassiz slickhead
609204,Encheliophis gracilis,Graceful pearlfish
609217,Epinephelus caninus,Dogtooth grouper
609256,Amblyraja hyperborea,Arctic skate
609386,Mycteroperca acutirostris,Comb grouper
609391,Mycteroperca fusca,Island grouper
609648,Zenarchopterus dispar,Feathered river garfish
609888,Cubiceps capensis,Cape fathead
609891,Pristigenys meyeri,Baga
609902,Priacanthus alalaua,Alalaua
609907,Gerres nigri,Guinean striped mojarra
609908,Plectorhinchus macrolepis,Biglip grunt
609994,Sicyopterus lagocephalus,Red-tailed goby
610106,Nemadactylus macropterus,Tarakihi
610126,Rhinobatos holcorhynchus,Slender guitarfish
610145,Gymnothorax neglectus,Moray eel
610190,Schedophilus pemarco,Pemarco blackfish
610202,Sphyraena viridensis,Yellowmouth barracuda
610220,Netuma thalassina,Giant catfish
610238,Benthosema pterotum,Skinnycheek lanternfish
610256,Lophius vomerinus,Devil anglerfish
610285,Ostichthys kaianus,Kai soldierfish
610301,Takifugu vermicularis,Purple puffer
610307,Cheilopogon agoo,Japanese flyingfish
610308,Patagonotothen ramsayi,Longtail southern cod
610430,Diapterus peruvianus,Peruvian mojarra
610676,Cyttus traversi,King dory
611002,Cynoscion stolzmanni,Stolzmanns weakfish
611111,Centropyge shepardi,Mango angelfish
611223,Tragulichthys jaculiferus,Longspine burrfish
611512,Albula glossodonta,Roundjaw bonefish
611704,Sebastolobus macrochir,Broadbanded thornyhead
611713,Congresox talabonoides,Indian pike conger
611783,Ambassis buruensis,Buru glass perchlet
611820,Abudefduf luridus,Canary damsel
611868,Chromis limbata,Azores chromis
